key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
52-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,10/20/2014
52-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade finalizada.,,10/20/2014
52-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,10/20/2014
52-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,10/20/2014
53-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/22/2014
53-2014,LANCAR_HORAS,Desenvolvedor SOA 1,24,Lançando horas da atividade.,,10/24/2014
53-2014,RESOLVED,Desenvolvedor SOA 2,24,Atividade concluída.,,10/24/2014
53-2014,LANCAR_HORAS,alexandre.junio,5,Demanda disponível para homologação.,,10/24/2014
53-2014,CLOSED,julioc.araujo.ms,,Ok.,,10/24/2014
54-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,10/21/2014
54-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Demanda concluída.,,10/21/2014
54-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,10/21/2014
54-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,10/21/2014
55-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/24/2014
55-2014,LANCAR_HORAS,Desenvolvedor SOA 1,56,Lançando horas da atividade.,,11/3/2014
55-2014,LANCAR_HORAS,Desenvolvedor SOA 2,56,Lançando horas da atividade.,,11/3/2014
55-2014,LANCAR_HORAS,Desenvolvedor SOA 3,56,Lançando horas da atividade.,,11/3/2014
55-2014,RESOLVED,Desenvolvedor SOA 4,56,Atividade concluída.,,11/3/2014
55-2014,LANCAR_HORAS,alexandre.junio,23,Demanda disponível para homologação.,,11/3/2014
55-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,11/3/2014
56-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,10/22/2014
56-2014,RESOLVED,Desenvolvedor/Tester SOA,24,Atividade finalizada.,,10/24/2014
56-2014,LANCAR_HORAS,alexandre.junio,3,Demanda disponível para homologação.,,10/24/2014
56-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,10/24/2014
57-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,10/30/2014
57-2014,RESOLVED,Especialista em Segurança SOA,48,Atividade concluída.,,11/6/2014
57-2014,LANCAR_HORAS,alexandre.junio,5,Demanda disponível para homologação.,,11/6/2014
57-2014,CLOSED,sergio.correia.ms,,Verificado.,,11/6/2014
58-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,10/30/2014
58-2014,RESOLVED,Especialista em Segurança SOA,64,Demanda concluída.,,11/10/2014
58-2014,LANCAR_HORAS,alexandre.junio,7,Demanda disponível para homologação.,,11/10/2014
58-2014,CLOSED,julioc.araujo.ms,,Homologação ok.,,11/10/2014
59-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/30/2014
59-2014,LANCAR_HORAS,Desenvolvedor SOA 1,232,Lançando horas da atividade.,,12/1/2014
59-2014,RESOLVED,Desenvolvedor SOA 2,232,Demanda concluída.,,12/1/2014
59-2014,LANCAR_HORAS,alexandre.junio,47,Demanda disponível para homologação.,,12/1/2014
59-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,12/1/2014
60-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,10/30/2014
60-2014,RESOLVED,Desenvolvedor/Tester SOA,24,Atividade finalizada.,,11/3/2014
60-2014,LANCAR_HORAS,alexandre.junio,3,Demanda disponível para homologação.,,11/3/2014
60-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/3/2014
61-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/27/2014
59-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,40,Lançando horas da atividade.,,12/3/2014
61-2014,RESOLVED,Desenvolvedor/Tester SOA,40,Atividade concluída.,,12/3/2014
61-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,12/3/2014
61-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,12/3/2014
62-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA 1,11/4/2014
62-2014,LANCAR_HORAS,Especialista em Segurança SOA 1,136,Lançando horas da atividade.,,11/26/2014
62-2014,RESOLVED,Especialista em Segurança SOA 2,136,Demanda concluída.,,11/26/2014
62-2014,LANCAR_HORAS,alexandre.junio,28,Demanda disponível para homologação.,,11/26/2014
62-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,11/26/2014
63-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/7/2014
63-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Demanda concluída.,,11/10/2014
63-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/10/2014
63-2014,CLOSED,sergio.correia.ms,,Tudo certo.,,11/10/2014
64-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,10/30/2014
64-2014,RESOLVED,Especialista em Segurança SOA,104,Atividade concluída.,,11/17/2014
64-2014,LANCAR_HORAS,alexandre.junio,11,Demanda disponível para homologação.,,11/17/2014
64-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/17/2014
65-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,11/18/2014
65-2014,RESOLVED,Especialista em Segurança SOA,8,Atividade finalizada.,,11/18/2014
65-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/18/2014
65-2014,CLOSED,sergio.correia.ms,,Verificado.,,11/18/2014
66-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,11/19/2014
66-2014,RESOLVED,Especialista em Segurança SOA,8,Atividade concluída.,,11/19/2914
66-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/19/2914
66-2014,CLOSED,sergio.correia.ms,,Verificado.,,11/19/2914
67-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,11/20/2014
67-2014,RESOLVED,Especialista em Segurança SOA,8,Atividade concluída.,,11/20/2014
67-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/20/2014
67-2014,CLOSED,julioc.araujo.ms,,Homologação ok.,,11/20/2014
68-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,12/1/2014
68-2014,RESOLVED,Especialista em Segurança SOA,8,Demanda concluída.,,12/1/2014
68-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,12/1/2014
68-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,12/1/2014
69-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,11/24/2014
69-2014,RESOLVED,Especialista em Segurança SOA,8,Atividade concluída.,,11/24/2014
69-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/24/2014
69-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/24/2014
70-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,11/3/2014
70-2014,LANCAR_HORAS,Desenvolvedor SOA 1,160,Lançando horas da atividade.,,11/28/2014
70-2014,RESOLVED,Desenvolvedor SOA 2,160,Atividade finalizada.,,11/28/2014
70-2014,LANCAR_HORAS,alexandre.junio,32,Demanda disponível para homologação.,,11/28/2014
70-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,11/28/2014
71-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,11/3/2014
71-2014,LANCAR_HORAS,Desenvolvedor SOA 1,120,Lançando horas da atividade.,,11/21/2014
71-2014,RESOLVED,Desenvolvedor SOA 2,120,Demanda concluída.,,11/21/2014
71-2014,LANCAR_HORAS,alexandre.junio,24,Demanda disponível para homologação.,,11/21/2014
71-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,11/21/2014
72-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Administrador de Infraestrutura Oracle SOA 1,11/4/2014
72-2014,LANCAR_HORAS,Administrador de Infraestrutura Oracle SOA 1,80,Lançando horas da atividade.,,11/17/2014
72-2014,LANCAR_HORAS,Administrador de Infraestrutura Oracle SOA 2,80,Lançando horas da atividade.,,11/17/2014
72-2014,LANCAR_HORAS,Especialista em Segurança SOA,72,Lançando horas da atividade.,,11/17/2014
72-2014,RESOLVED,Arquiteto SOA,72,Atividade concluída.,,11/17/2014
72-2014,LANCAR_HORAS,alexandre.junio,38,Demanda disponível para homologação.,,11/17/2014
72-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/17/2014
73-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/18/2014
73-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,120,Lançando horas da atividade.,,12/8/2014
73-2014,LANCAR_HORAS,Desenvolvedor 2/Tester SOA 2,120,Lançando horas da atividade.,,12/8/2014
73-2014,RESOLVED,Desenvolvedor 3/Tester SOA 3,120,Atividade concluída.,,12/8/2014
73-2014,LANCAR_HORAS,alexandre.junio,36,Demanda disponível para homologação.,,12/8/2014
73-2014,CLOSED,sergio.correia.ms,,Verificado.,,12/8/2014
74-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Analista SOA,11/1/2014
74-2014,RESOLVED,Analista SOA,80,Atividade finalizada.,,11/11/2014
74-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,11/11/2014
74-2014,CLOSED,julioc.araujo.ms,,Homologação ok.,,11/11/2014
75-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/24/2014
75-2014,LANCAR_HORAS,Desenvolvedor SOA 1,304,Lançando horas da atividade.,,12/4/2014
75-2014,LANCAR_HORAS,Desenvolvedor SOA 2,304,Lançando horas da atividade.,,12/4/2014
75-2014,RESOLVED,Desenvolvedor SOA 3,304,Demanda concluída.,,12/4/2014
75-2014,LANCAR_HORAS,alexandre.junio,92,Demanda disponível para homologação.,,12/4/2014
75-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,12/4/2014
76-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/28/2014
