key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
94-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/4/2014
94-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,32,Lançando horas da atividade.,,11/8/2014
94-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,32,Demanda concluída.,,11/8/2014
94-2014,LANCAR_HORAS,alexandre.junio,7,Demanda disponível para homologação.,,11/8/2014
94-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/8/2014
95-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/19/2014
95-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Atividade finalizada.,,11/19/2014
95-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/19/2014
95-2014,CLOSED,julioc.araujo.ms,,Verificado.,,11/19/2014
96-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/20/2014
96-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,8,Lançando horas da atividade.,,11/20/2014
96-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,8,Atividade concluída.,,11/20/2014
96-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/20/2014
96-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,11/20/2014
97-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/20/2014
97-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Atividade finalizada.,,11/20/2014
97-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/20/2014
97-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,11/20/2014
98-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/21/2014
98-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,8,Lançando horas da atividade.,,11/21/2014
98-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,8,Demanda concluída.,,11/21/2014
98-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/21/2014
98-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/21/2014
99-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/21/2014
99-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Atividade finalizada.,,11/21/2014
99-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/21/2014
99-2014,CLOSED,sergio.correia.ms,,Ok.,,11/21/2014
100-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/24/2014
100-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,8,Lançando horas da atividade.,,11/24/2014
100-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,8,Atividade concluída.,,11/24/2014
100-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/24/2014
100-2014,CLOSED,sergio.correia.ms,,Demanda verificada.,,11/24/2014
101-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,12/2/2014
101-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Demanda concluída.,,12/3/2014
101-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,12/3/2014
101-2014,CLOSED,sergio.correia.ms,,Demanda verificada.,,12/3/2014
102-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,12/4/2014
102-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,16,Lançando horas da atividade.,,12/5/2014
102-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,16,Atividade concluída.,,12/5/2014
102-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,12/5/2014
102-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,12/5/2014
103-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/25/2014
103-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Demanda concluída.,,11/26/2014
103-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/26/2014
103-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/26/2014
104-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/27/2014
102-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,16,Lançando horas da atividade.,,11/28/2014
104-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,16,Atividade finalizada.,,11/28/2014
104-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,11/28/2014
104-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/28/2014
105-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Celia,11/18/2014
105-2014,LANCAR_HORAS,Celia,176,Lançando horas da atividade.,,12/10/2014
105-2014,LANCAR_HORAS,Rodrigo,176,Lançando horas da atividade.,,12/10/2014
105-2014,LANCAR_HORAS,Cleber,176,Lançando horas da atividade.,,12/10/2014
105-2014,RESOLVED,Raphael,176,Atividade concluída.,,12/10/2014
105-2014,LANCAR_HORAS,alexandre.junio,71,Demanda disponível para homologação.,,12/10/2014
105-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,12/10/2014
106-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Administrador de Infraestrutura Oracle SOA,11/18/2014
106-2014,LANCAR_HORAS,Administrador de Infraestrutura Oracle SOA,240,Lançando horas da atividade.,,12/10/2014
106-2014,LANCAR_HORAS,Especialista em Segurança SOA,240,Lançando horas da atividade.,,12/10/2014
106-2014,LANCAR_HORAS,Administrador de Infraestrutura Oracle SOA,240,Lançando horas da atividade.,,12/10/2014
106-2014,RESOLVED,Especialista em Segurança SOA,240,Atividade concluída.,,12/10/2014
106-2014,LANCAR_HORAS,alexandre.junio,96,Demanda disponível para homologação.,,12/10/2014
106-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,12/10/2014
107-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Administrador de Infraestrutura Oracle SOA,11/18/2014
107-2014,RESOLVED,Administrador de Infraestrutura Oracle SOA,248,Demanda concluída.,,12/9/2014
107-2014,LANCAR_HORAS,alexandre.junio,25,Demanda disponível para homologação.,,12/9/2014
107-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,12/9/2014
108-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Analista SOA 1,11/26/2014
108-2014,LANCAR_HORAS,Analista SOA 1,172.8,Lançando horas da atividade.,,12/10/2014
108-2014,RESOLVED,Analista SOA 2,172.8,Atividade finalizada.,,12/10/2014
108-2014,LANCAR_HORAS,alexandre.junio,35,Demanda disponível para homologação.,,12/10/2014
108-2014,CLOSED,sergio.correia.ms,,Verificado.,,12/10/2014
